NEWS,CATEGORY,SEVERITY LEVEL
"An engineering company in Mumbai along with its Canada-based client were targeted by cyber criminals, who made fraudulent transfers to the tune of over Rs 20 lakh from their accounts. According to Powai police that registered an FIR, this is a case of a Man-In-The-Middle (MITM) scam, where fraudsters intercept the company’s communication, impersonate the hacked parties and get money transferred to their own accounts. No arrests have been made in the case as yet.
An officer linked to the case said the Chandivali-based company, which dealt in furnace and foundry equipment, had contacted a German company to supply them hardware related to crane parts in April this year. The company normally places orders through e-mail.
The firm contacted the German company in November last year. The two companies kept communicating through emails and in February this year, the Chandivali company placed an order for some crane parts. The German company confirmed the order and asked them to make an initial payment of 30 per cent of the total amount — 5,940 euros (Rs 4.89 lakh), an officer said.
The company made a payment of Rs 4.89 lakh in April and the rest of the payment of Rs 11.24 lakh in June this year. However, within a few weeks the complainant’s company received an invoice from the German company.
“Having made the payment already, the complainant was taken aback and informed the German company of having already made the payment. They were, however, informed that no such payment had been received. The German company further confirmed that the account number to which the payment had been made did not belong to them,” a senior officer said.
At this point the complainant checked the e-mail address that had sent them the account number and found that it did not belong to the German company.
“Since the e-mail address looked similar to that of the German company and they were already in communication with them, the complainant did not realise that the e-mail address had been changed. This is called e-mail spoofing wherein you make a minor change, like adding an alphabet, to an official ID and using it to cheat people,” the officer said. Spoofing is part of the MITM scam, whereby fraudsters intercept companies that have international dealings, spoof e-mail addresses and provide their own account number for payments to be made.
In this case, after the complainant realised about the fraud and checked the other account details, he found that a similar case had taken place with them in June.
In May, a Canada-based company got in touch with the complainant and placed an order for spare parts worth 8,120 Canadian dollars (Rs 4.33 lakh).
“In this instance, fraudsters had spoofed the email address of the Chandivali-based company, provided their own account number and got the Canada-based company transfer the amount to their own account instead of the Chandivali-based company,” the officer added.
After the complainant approached the Powai police last week, anFIRhad been registered on charges of cheating and relevant sections of the Information Technology Act.
“Normally in such cases tracking the accused is difficult as they use proxy networks. We are, however, trying to trace the bank account into which the money was fraudulently transferred,” the officer added.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
", Email Spoofing,High
"A woman who befriended a man on Facebook a few weeks ago got him arrested on March 22 after he allegedly tried to extort money from her by threatening to post her semi-nude photographs on social media. Police said the 24-year-old complainant, who is married and has a daughter, took the man to RAK Marg police station where a case of criminal intimidation and extortion was registered and he was arrested.
In her statement to the police, the woman has said that two months ago, she got a friend request onFacebookfrom somebody named Simran Shaikh, who then introduced her to a man named Prince K few weeks back. “As Shaikh and I had become good friends, I trusted her and accepted Prince’s request,” the complainant said. The man who went by the name Prince allegedly began sending messages to the complainant. They also shared phone numbers with each other. As they got closer, he reportedly began asking for her photographs. The complainant said initially she refused but later, she sent him some semi-nude pictures of herself on Facebook messenger.
Prince then claimed that he wanted to meet her. The woman refused but later, she met him near her Nerul house. After that, Shaikh allegedly called up the woman and demanded that she deposit Rs 10,000 in an account. Shaikh and Prince allegedly began threatening the woman saying they would send the photographs to her husband and other relatives. Prince allegedly even threatened to post her semi-naked photographs on social media.
“I called up a friend and asked him for help. We called Prince and under the pretext of giving him the money he had asked for, I asked him to meet me near Sewri court. We asked two of our friends to accompany us,” said the complainant. The woman waited for Prince near Sewri court while her friends stood at a distance. The accused came on his bike and asked the complainant to sit on the bike. Before he could start the bike, the woman’s three friends got hold of him and took him to the nearest police station at RAK Marg.
A case was registered under sections 385 (putting person in fear of injury in order to commit extortion), 506 (punishment for criminal intimidation) and 34 (acts done by several persons in furtherance of common intention) of the Indian Penal Code, along with sections 66 (E) and 84 of the Information Technology Act. The arrested accused has been identified as Shahnawaz Mohomed Dinkhan (30), a Sewri resident.
Senior Police Inspector, RAK Marg police station, Bhagwat Bhansod said: “We are on the lookout for his accomplice Simran Shaikh. We are also checking if he has any other cases pending against him.”
Click here to join The Indian Express on WhatsApp and get latest news and updates
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.

",Social Media Crime,Medium
"Home Minister Rajnath Singh Wednesday said cyber crime has become an industry globally and that such offences may occur “very often” due to the availability of resources in wrong hands. Singh also said penetration of Internet and self-radicalisation have further added to the woes of law enforcement agencies and that continuance of the availability of radicalised materials on Internet is likely to have drastic change in society and subsequently to humanity.
Inaugurating a two-day Asia-Pacific regional conference of the International Association of Chiefs of Police (IACP) on “Challenges to Policing in 2020- How is Cyber Space shaping our approach to Cyber crime & Terrorism, how do we perform within it and take advantage of it”, the home minister said cyber security network outages, data compromised by hackers, computer malware and other cyber-related incidents and crimes have affected people’s lives.
“I am afraid, cyber attack would occur very often. Tools already exist to mount cyber attacks and they will be improving over the next decade. We have already witnessed an increase in the number and severity of such attacks,” he said.
Singh said cyber crime has become an industry and many cyber crimes-related tools and techniques are being offered as services. Even novice criminal with limited investments of money can afford to have such services at his disposal.
“The increase in digitisation of the financial services with inadequate attention to setting up of robust process, controls and monitoring mechanisms has given new age fraudsters the opportunity to exploit these gaps leading to new types of financial crimes,” he said.
The home minister said the new age technologies such as the internet of things, virtual currencies, advanced malware, artificial intelligence, etc. are fast spreading its tentacles. The police are now expected to cope with such rapid changing technologies, as well.
“Across many countries many cyber criminals uses technologies like darknet, proxy servers, The Onion Router (TOR) services to hide their identity. Extensive use of VolP, caller ID spoofing, use of crypto currencies, encrypted channel for communication, use of social media have virtually created syndicates of criminals irrespective of their nationality,” he said.
Singh said in the fast changing technology world, computer-based technologies are being increasingly used in various activities ranging from simple home security system to complex nuclear power plants or space programs.
“The cyber-dependency has become widespread today. This has increased vulnerability to attacks against both civilian and military infrastructures,” he said.
The home minister said the governments, defence forces, corporations, financial institutions, utility services, hospitals and other businesses collect, process and store a great deal of sensitive information on systems and transmit data across networks.
“With the growing volume and sophistication of cyber attacks, each one of us is required to protect sensitive information, as well as safeguard national security,” he said.
Singh said there are many risks, some more serious than others, like viruses, computer hacking, pilferage of data, stealing of credit card information, etc.
“Unfortunately, there is no 100 per cent guarantee that even with the best precautions some of these things won’t happen to you, but there are steps you can take to minimize the chances,” he said.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Emerging Threats,High
"A 23-year-old management trainee working in a leading bank was allegedly cheated of  Rs 1.56 lakh after unidentified people got hold of her debit card details and blocked SMS alerts to her phone. The police said that the fraudsters could also change her pin number.
Borivali resident Sonal Maheshwari told the police that she discovered the theft when she checked her email account and found that Rs 1.56 lakh had been withdrawn from her bank account without her knowledge.
Sonal rushed to a nearby ATM and tried to use her debit card but found that her PIN had been changed. Through her bank statement, Sonal learnt that a total of 14 transactions had been made from her account between February 7 and March 1.
An officer from Kasturba Marg police station said, “Maheshwari had a registered mobile number with the bank to get immediate updates on her mobile about any transaction, but she never got the SMS alerts for these withdrawals. We believe that the culprits changed her registered mobile number.”
The Kasturba Marg police have registered a case under sections 419 (cheating by impersonation) and 420 (cheating and dishonestly inducing delivery of property) of the Indian Penal Code along with relevant sections of the IT Act.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Financial Fraud,High
"A Russian man accused of operating a network of infected computers used by cyber criminals has been extradited to the United States from Spain and will make an initial court appearance on Friday, the US Department of Justice said.
US prosecutors said Peter Levashov, 37, ran the Kelihos botnet, a network of more than 100,000 infected devices used by cyber criminals to distribute viruses, ransomware, phishing emails and other spam attacks.
Levashov denies the charges in an eight-count indictment handed down by a federal grand jury in Connecticut in April.
Levashov, who fought the extradition, told Spain's High Court in September that he had worked for Russian President Vladimir Putin's United Russia party for the last 10 years, Russia's RIA news agency reported.
He told the court that investigators in the United States would torture him for information about his political work if he was sent there to face the charges, RIA said.
Levashov was charged by US prosecutors with causing intentional damage to a protected computer and wire fraud, which carry a potential prison sentence of up to 52 years if he is convicted at trial.
He was arrested while on holiday in Barcelona last April and in October, Spain's High Court granted a US request to extradite him. Levashov was scheduled to appear in court in Bridgeport, Connecticut, the Justice Department said.
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Data Breach,High
"Last month, the family and friends of Haresh Shah, the CEO of Khadi Village Industries Association, received a message from an email bearing his name that requested for urgent funds required for the surgery of a friend’s daughter. However, even after the fraud came to Shah’s notice, a friend transferred Rs 1 lakh to the bank account mentioned in the email.
The police said that in the last week of December last year, a person posing as Shah sent emails to his family members and friends seeking monetary assistance for a friend whose daughter needed an urgent surgery. The email added that Shah was unable to help as he was abroad at that time.
When the receivers contacted Shah, they were informed that he had not sent out such a message and the email address did not belong to him. But one of Shah’s friends transferred money to a bank account number mentioned in the email.  SouthMumbairesident Shah filed a complaint with Gamdevi police station last week alleging that an unidentified person had created a fake email address and solicited funds in his name. The police have registered a case of impersonation and cheating under the Indian Penal Code and identity theft under the Information Technology Act against an unidentified person.
“We have written to the bank where the account in question is and we are seeking details of the account holder,” said an officer at Gamdevi police station.mumbai.newsline@expressindia.com
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.",Social Media Crimes,Medium
"Intensifying the fight against cyber crime, networking giant Cisco and international police organisation Interpol on Tuesday announced an agreement to share threat intelligence. The alliance will see the two organisations develop a coordinated and focused approach to data sharing, Cisco said in a statement.
This not only will allow for quick threat detection around the world but also pave the way for potential future collaboration on training and knowledge sharing, it added. “The exchange of information and expertise between the public and private sectors is vital in combating cyber crime. No country or company can do this alone,” said Noboru Nakatani, Executive Director of the Interpol Global Complex for Innovation (IGCI) in Singapore, which serves as Interpol’s global cyber crime centre.
“Interpol’s agreement withCiscoprovides us, and law enforcement in our 192 member countries, with access to important cyber threat information which will help us not only detect attacks but also help prevent them,” Nakatani added. Cisco said it blocks 19.7 billion threats a day through its Collective Security Intelligence, enabled by Cisco Talos, the security intelligence and research group.
Its agreement with Interpol supports the organisation’s programmes targeting both “pure cyber crime” and cyber-enabled crimes to assist member countries with identifying cyber attacks and their perpetrators. “As cyber crime continues to escalate around the world, defenders from both the public and private sectors must meet the threat with equal force,” said John Stewart, Senior Vice President and Chief Security and Trust Officer at Cisco.
Visibility and comprehensive threat intelligence across the cyber domain are critical to enable detection, analysis and protection against emerging threats,” Stewart added.

Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Emerging Threats,High
"A phone call for a credit card, a barrage of international calls, and extortion messages for Chinese Yuan in bitcoin. By the end of the ordeal, Dinesh Arora (60), an electronics goods store owner in Khan Market, got one final message on his smartphone: “You have exceeded your bank limit”.
Arora was a victim of a coordinated cyber attack in which he lost Rs 1,37,000. Five months after the attack, police are yet to make headway in the case and suspect that it was carried out by a group of criminals. AnFIRin the case was finally lodged on October 3.
Arora said he was first contacted by a caller, who introduced himself as a customer care executive from a bank offering him a credit card. “I thought he was a genuine employee as the Truecaller app also showed the bank’s name. He convinced me to give out my credit card andAadhaar carddetails,” he said.
The first signs of the fraud were found when Arora started receiving extortion messages. “Send me 1,100 chinese yuan thru bitcoin. If no send by then ur cell phone, laptop, iPad, tablet, SIM in problem (sic),” the message read.
Soon after, Arora said he received over 130 international calls. “When I would pick up, nobody would answer,” he said.
Arora then reached out to his telecom service provider and also filed a police complaint.
A few days later, he received a call from a man posing as a customer care executive from the service provider. He asked Arora to swap his iPhone with anAndroidto stop receiving calls and messages. After five days, when he switched back, he found a message from his bank, informing him that he had exceeded his bank limit and that his savings had been wiped out.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.

","Financial Fraud
",Medium
"A journalist from Solapur was on Friday summoned by the Mumbai police in connection with a cyber crime case filed in June by an Officer on Special Duty (OSD) to Maharashtra Chief Minister Devendra Fadnavis. The cyber police station in Bandra Kurla Complex had issued summons to Brahma Chatte in connection with its investigation into the complaint filed by Nidhi Kamdar, who had alleged that a man named Dev Gaikwad created a fake profile in her name on Facebook.
Gaikwad allegedly posted a screenshot of Kamdar’s fake account, offering him money to change his opinion of Fadnavis.Mumbaipolice spokesperson and Deputy Commissioner of Police (Operations) Rashmi Karandikar said that Chatte’s statement was recorded on Friday after his name cropped up during the investigation.
A senior police official said that the cyber police began probing Chatte after learning that he had been in contact with the accused Gaikwad. “He has been summoned in his capacity as an individual and not for committing any crime,” said the official. Reacting, Opposition parties the Congress and NCP attacked the government for “muzzling” dissenting voices.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.

","Social Media Crimes
",Medium
"In view of the growing incidents of financial cyber crimes, including frauds using cards and e-wallets, Home Minister Rajnath Singh has ordered strengthening of the surveillance and legal frameworks to check the menace, the home ministry said today. The issue came up at a high-level meeting where the strategies being adopted to check financial cyber crimes were discussed in detail.
Representatives from various agencies made presentations and appraised the home minister of the current trends of financial cyber crimes in the country and the steps being taken by their agencies to address this challenge, a home ministry spokesperson said. Concerned agencies and representatives of certain states highlighted the steps being taken to arrest the growing trend of cyber crime in the financial sector. It was noted that both legal and technological steps need to be taken to address this situation.
The home minister directed all concerned agencies to undertake required measures in a time bound manner and emphasised on the coordination of all concerned agencies in this regard, the spokesperson said. It has been decided to expedite the implementation of cyber crime prevention initiatives in these agencies towards this end along with measures required to acquire critical cyber forensics equipment.
It was also decided that an inter-ministerial committee may be set up to identify action points and monitor the implementation. Capacity building of various stakeholders such as police officers, judicial officers, forensic scientists as well as officials in the banking sector has been identified as a key measure. As many as 1,44,496 cyber security attacks were observed in the country in last three years. As per the information reported to and tracked by Indian Computer Emergency Response Team (CERT-In), a total number of 44,679, 49,455 and 50,362 cyber security incidents were observed during 2014, 2015 and 2016.
The types of cyber security incidents included phishing, scanning/probing, website intrusions and defacements, virus/malicious code and denial of service attacks. As per the data maintained by National Crime Record Bureau (NCRB), a total of 5,693, 9,622 and 11,592 cyber crime cases were registered during the years 2013, 2014 and 2015, respectively, showing a rise of 69 per cent during 2013 to 2014 and 20 per cent increase during 2014 to 2015.
Tuesday’s meeting was also attended by Union home secretary Rajib Gauba, secretary, department of financial services Rajiv Kumar, secretary in the ministry of electronics and information technology Ajay Prakash Sawhney, director of Intelligence Bureau Rajiv Jain, Delhi Police Commissioner Amulya Patnaik among others.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
","Emerging Threats
",High
"The cyber crime unit of the Criminal Investigations Department of the Karnataka police have arrested two foreigners – a Hungarian and a Romanian national – for rigging several bank ATMs in the city and capturing the ATM card data and pin numbers of unsuspecting ATM users. The two arrested men have been identified as Dan Sabin Christian, 40, from Romania and Mare Janos, 44, from Hungary who arrived in India for the first time on a tourist visa on September 1 and were due to leave on September 19.
The modus operandi employed by the two East Europeans to steal the card data of ATM users in Bengaluru bears a striking resemblance to the tactics employed by a Romanian gang involved last year in the stealing of data at ATMs in Thiruvananthapuram in Kerala. In the Kerala case one of the suspects Gabriel Marian, 27, was arrested inMumbaidays after a few victims in Kerala complained of illegal debits of funds from their accounts. The investigations in the case had shown that the Romanians had planted card skimmers and pin cameras at ATMs to capture the data of users in order to clone the cards.
The cyber crime unit of the CID inKarnatakain the investigations of their case have found that the two persons arrested in Bengaluru this week planted skimmers on eight occasions in five ATMs in the central business district and at an ATM at the international airport. The operations of the duo were unearthed by the police after officials of the Kotak Mahindra Bank reported that illegal devices for skimming ATM cards and capturing pin numbers had been found at the bank’s ATM kiosk on MG Road in the CBD.
Based on this information and the CCTV footage of the persons who installed the skimmer and mini camera the cyber crime police carried out investigations and found that similar equipment was also installed at a Kotak Mahindra ATM at the international airport. The police laid a trap for the suspects and waited for them to arrive to retrieve the devices.
Following the arrest the two foreign nationals have claimed that they are part of an organized criminal gang working with an operator based in the UK. “The duo brought sophisticated equipment with them and planted it in the ATMs as part of an operation to gather data of as many ATM users as possible in order to later monetize it,” the director general of the CID H C Kishore Chandra said. The duo were earlier caught in Jamaica for a similar offence, the official said. “No money has been stolen with the data theft in Bengaluru but we are asking the banks to alert customers who have used the ATMs where the skimmers were installed to change their pin and other details, ” the additional director general of police at the CID Prathap Reddy said. The duo planted the skimmers in the early hours of the morning and would retrieve them late at night to change the memory cards which stored the stolen data. The stolen data would be transmitted in an encrypted form to the associate in the UK who would use the data to grab funds from the accounts of victims for purchases and cash.
The CID would initiate proceedings against the main operators of the card skimming gang through the Interpol, ADGP Prathap Reddy said.
The ATMs compromised in the card data theft by the two foreign nationals over the last two weeks are – the Kotak Mahindra ATMs at the Bengaluru International Airport and the Trinity Metro Station, a Citibank ATM at the Garuda Mall, a Canara Bank ATM at M G Road, and a Kotak bank ATM at Brigade Road. According to the CID the duo have been travelling around the world and have visited the US, Mexico, Guatemala, Jamaica, Philippines, France, Argentina and
Uruguay in recent times. The police said they are verifying linkages to the gang involved in the ATM skimming in Kerala last year. Cristian and Janos were scheduled to fly to the UK on September 19.
A Citi Bank spokesperson said, “Security of our customer information is of paramount importance to Citi. To the best of our understanding, there has been no compromise of any customer data due to this fraudulent activity as on date, and we shall continue to take all possible steps to safeguard our customers’ interests. We are closely monitoring the situation and co-operating with the law enforcement agency on this incident.”
Click here to join The Indian Express on WhatsApp and get latest news and updates
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.


","Financial Fraud
",Medium
"A 70-YEAR-OLD woman became the latest victim of the ‘vishing’ fraud where conmen pretending to be calling from banks take debit card or bank account details of unsuspecting people and make fraudulent transactions using them. In the current case, Vrushali Joglekar, a Malad resident, lost Rs 1.25 lakh in a series of unauthorised transactions made within an hour using her internet banking details. The Malad police registered an FIR Monday and are investigating the matter.
According to the police, Joglekar, who retired from a private sector job a few years ago, lives along with her 75-year-old husband Vighyan in their sixth floor home in Ankur Cooperative Housing Society at Jubilee Park in Malad, and the two survive on their pension money.
On August 20, around 4.30 pm, Joglekar was at home when she received a call from a man who claimed to be calling from the IDBI bank where the senior citizen held an account, said the police. In her complaint to the police, Joglekar said, “The person who called me claimed that my bank account had been deactivated and would need my account details to reactivate it. Not suspecting anything amiss, I gave away by bank account details.”
Joglekar soon suspected there was something wrong. She then went to the local branch of her bank to check her balance. The balance seemed much lower than what she had expected. She went to the main branch the next day and found that 18 unauthorised transactions had been carried out on her bank account. “A total of Rs 1,25,978 had been withdrawn illegally in the 18 transactions made on her account using internet banking,” said an officer from the Malad police station.
After realising that she had been duped, Joglekar and her husband approached the Malad police station, where a case was registered for cheating and under relevant sections of the Information Technology Act. An officer linked to the probe said, “We are trying to trace the number from which the call had been made. We have also sought some details from the bank using which we should be able to track down the accused.”
A senior officer said, “In a large number of vishing cases, the victims are senior citizens who are not tech savvy. There have been a spurt of such vishing cases in the northern suburbs of the city where people have lost money to such fraudsters.”
Click here to join The Indian Express on WhatsApp and get latest news and updates
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Financial Fraud ,Medium
"Here’s another reason to be leery of the initial coin offerings being done at a staggering pace in the cryptocurrency world: there’s a one-in-10 chance you’ll end up a victim of theft. Phishing scams have helped push up criminal losses to about $225 million this year, according to Chainalysis, a New York-based firm that analyzes transactions and provides anti-money laundering software. In such scams, investors are tricked into sending money to internet addresses pretending to be funding sites for digital token offerings related to the Ethereum blockchain technology.
More than 30,000 people have fallen prey to Ethereum-related cyber crime, losing an average of $7,500 each, with ICOs amassing about $1.6 billion in proceeds this year, Chainalysis estimates. “It’s a huge amount of money to generate in such a short period of time,” said Jonathan Levin, co-founder of Chainalysis, whose software and database are used by some of the largest bitcoin companies and U.S. law enforcement agencies. “The cryptocurrency phishers are doing pretty good against all the other types of criminals that are out there.”
Indeed, the huge amount of wealth that has fallen prey to cyber criminals is approaching the losses incurred by robberies in the U.S. for the entire year of 2015, which stood at $390 million, according to statistics released by the Federal Bureau of Investigation. ICOs are digital token sales typically that raise ether, with users transferring the funds to addresses provided by startups. Investors, sometimes eager to get early access to new token offerings have been tricked into providing their credentials to fake websites through targeted email campaigns, twitter posts and Slack messages, said Levin.
Most attacks involve creating websites or social media accounts that sound similar to the real ICO project. Levin gave the fictional example of a project named “illuminate,” which an imposter might fake by spelling it as “iIIuminate.” Using the fake account, they would solicit potential investors to send money to the criminal’s address. His firm compiled the data by identifying so-called digital wallets used by scam artists. That information is usually public because criminals widely circulate it, hoping to fool investors into sending them money.
Other common forms of crime involve tapping into project loopholes. The DAO, or decentralized autonomous organization, is a smart contract project built on top of Ethereum that was intended to democratize how Ethereum projects are funded. A bug in the system was exploited and that led to the theft of $55 million worth of ether at the time. Levin didn’t provide data for bitcoin-related cybercrime, and not because it is any safer. He said such data is harder to track as scams are usually specific attacks on individual holders, rather than ICO-related campaigns which try to dupe many people at once.
“The overall figures mean there are infrastructure that we need to build to help prevent people from getting abused,” said Levin.

Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Financial Fraud (,High
